Sat Nov 16 01:28:43 2024    profile_stats

         137885 function calls (129299 primitive calls) in 0.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1737    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       25    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\dtypes.py:30(_add_dtype_helper)
     1439    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      240    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:363(health)
        2    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\effects.py:846(SummonPet)
        1    0.000    0.000    0.001    0.001 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_add_newdocs_scalars.py:1(<module>)
      410    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      684    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      311    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\function_base.py:491(_add_docstring)
      573    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\pets.py:92(health)
        1    0.000    0.000    0.001    0.001 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\arrayprint.py:1(<module>)
      240    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:359(attack)
      907    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
     1726    0.001    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:269(__iter__)
        5    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\battle.py:777(battle_phase_attack)
       36    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:111(_float_to_str)
       12    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       21    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:43(move)
      106    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\re\__init__.py:164(match)
       57    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1028    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 D:\miniconda3\envs\SAPAI\Lib\threading.py:1(<module>)
      698    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:355(empty)
      131    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      154    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\lists.py:30(obj)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
